No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings,,Error [cts]
271,21.0801,1133.809,1140.263,1139.98,30.25, ,4.8901,,-6.454
272,21.0841,1172.6,1140.175,1139.892,30.25, ,4.8892,,32.425
273,21.0881,1146.178,1140.087,1139.804,30.25, ,4.8882,,6.091
274,21.0921,1133.165,1140,1139.715,30.25, ,4.8873,,-6.835
275,21.0961,1183.361,1139.912,1139.627,30.25, ,4.8864,,43.449
276,21.1001,1188.713,1139.824,1139.539,30.25, ,4.8855,,48.889
277,21.1041,1154.74,1139.736,1139.451,30.25, ,4.8846,,15.004
278,21.1081,1169.081,1139.649,1139.363,30.25, ,4.8837,,29.432
279,21.1121,1179.834,1139.561,1139.274,30.25, ,4.8827,,40.273
280,21.1161,1151.456,1139.473,1139.186,30.25, ,4.8818,,11.983
281,21.1201,1171.771,1139.385,1139.098,30.25, ,4.8809,,32.386
282,21.1241,1148.957,1139.298,1139.01,30.25, ,4.88,,9.659
283,21.1281,1095.341,1139.21,1138.922,30.25, ,4.8791,,-43.869
284,21.1321,1153.45,1139.122,1138.833,30.25, ,4.8782,,14.328
285,21.1361,1138.34,1139.034,1138.745,30.25, ,4.8773,,-0.694
286,21.1401,1098.923,1138.947,1138.657,30.25, ,4.8763,,-40.024
287,21.1441,1177.045,1138.859,1138.569,30.25, ,4.8754,,38.186
288,21.1481,1166.961,1138.771,1138.48,30.25, ,4.8745,,28.19
289,21.1521,1138.418,1138.683,1138.392,30.25, ,4.8736,,-0.265
290,21.1561,1109.698,1138.596,1138.304,30.25, ,4.8727,,-28.898
291,21.1601,1086.737,1138.508,1138.216,30.25, ,4.8718,,-51.771
292,21.1641,1114.22,1138.42,1138.128,30.25, ,4.8709,,-24.2
293,21.1681,1149.4,1138.333,1138.039,30.25, ,4.87,,11.067
294,21.1721,1167.083,1138.245,1137.951,30.25, ,4.8691,,28.838
295,21.1761,1167.316,1138.157,1137.863,30.25, ,4.8682,,29.159
296,21.1801,1157.76,1138.069,1137.775,30.25, ,4.8672,,19.691
297,21.1841,1147.379,1137.982,1137.687,30.25, ,4.8663,,9.397
298,21.1881,1143.984,1137.894,1137.598,30.25, ,4.8654,,6.09
299,21.1921,1136.374,1137.806,1137.51,30.25, ,4.8645,,-1.432
300,21.1961,1114.824,1137.718,1137.422,30.25, ,4.8636,,-22.894
301,21.2001,1127.302,1137.631,1137.334,30.25, ,4.8627,,-10.329
302,21.2041,1075.36,1137.543,1137.246,30.25, ,4.8618,,-62.183
303,21.2081,1170.487,1137.455,1137.157,30.25, ,4.8609,,33.032
304,21.2121,1124.335,1137.368,1137.069,30.25, ,4.86,,-13.033
305,21.2161,1131.439,1137.28,1136.981,30.25, ,4.8591,,-5.841
306,21.2201,1089.465,1137.192,1136.893,30.25, ,4.8582,,-47.727
307,21.2241,1129.678,1137.104,1136.805,30.25, ,4.8573,,-7.426
308,21.2281,1102.258,1137.017,1136.716,30.25, ,4.8564,,-34.759
309,21.2321,1118.391,1136.929,1136.628,30.25, ,4.8555,,-18.538
310,21.2361,1149.186,1136.841,1136.54,30.25, ,4.8546,,12.345
311,21.2401,1094.567,1136.754,1136.452,30.25, ,4.8537,,-42.187
312,21.2441,1140.734,1136.666,1136.364,30.25, ,4.8527,,4.068
313,21.2481,1157.318,1136.578,1136.275,30.25, ,4.8518,,20.74
314,21.2521,1158.913,1136.49,1136.187,30.25, ,4.8509,,22.423
315,21.2561,1168.567,1136.403,1136.099,30.25, ,4.85,,32.164
316,21.2601,1161.158,1136.315,1136.011,30.25, ,4.8491,,24.843
317,21.2641,1104.911,1136.227,1135.923,30.25, ,4.8482,,-31.316
318,21.2681,1131.67,1136.14,1135.834,30.25, ,4.8473,,-4.47
319,21.2721,1156.047,1136.052,1135.746,30.25, ,4.8464,,19.995
320,21.2761,1121.403,1135.964,1135.658,30.25, ,4.8455,,-14.561
321,21.2801,1137.097,1135.876,1135.57,30.25, ,4.8446,,1.221
322,21.2841,1134.118,1135.789,1135.482,30.25, ,4.8437,,-1.671
323,21.2881,1127.875,1135.701,1135.393,30.25, ,4.8428,,-7.826
324,21.2921,1145.976,1135.613,1135.305,30.25, ,4.8419,,10.363
325,21.2961,1153.044,1135.526,1135.217,30.25, ,4.841,,17.518
326,21.3001,1146.683,1135.438,1135.129,30.25, ,4.8401,,11.245
327,21.3041,1125.444,1135.35,1135.041,30.25, ,4.8392,,-9.906
328,21.3081,1135.73,1135.262,1134.952,30.25, ,4.8383,,0.468
329,21.3121,1159.835,1135.175,1134.864,30.25, ,4.8374,,24.66
330,21.3161,1175.154,1135.087,1134.776,30.25, ,4.8365,,40.067
331,21.3201,1121.229,1134.999,1134.688,30.25, ,4.8357,,-13.77
332,21.3241,1114.635,1134.912,1134.599,30.25, ,4.8348,,-20.277
333,21.3281,1179.403,1134.824,1134.511,30.25, ,4.8339,,44.579
334,21.3321,1161.385,1134.736,1134.423,30.25, ,4.833,,26.649
335,21.3361,1085.62,1134.648,1134.335,30.25, ,4.8321,,-49.028
336,21.3401,1120.339,1134.561,1134.247,30.25, ,4.8312,,-14.222
337,21.3441,1115.61,1134.473,1134.158,30.25, ,4.8303,,-18.863
338,21.3481,1118.01,1134.385,1134.07,30.25, ,4.8294,,-16.375
339,21.3521,1119.999,1134.298,1133.982,30.25, ,4.8285,,-14.299
