No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings,,Error [cts]
279,21.1121,1190.709,1214.191,1213.943,30.25, ,4.8827,,-23.482
280,21.1161,1197.967,1214.128,1213.879,30.25, ,4.8818,,-16.161
281,21.1201,1230.074,1214.065,1213.814,30.25, ,4.8809,,16.009
282,21.1241,1223.451,1214.001,1213.75,30.25, ,4.88,,9.45
283,21.1281,1205.26,1213.938,1213.686,30.25, ,4.8791,,-8.678
284,21.1321,1201.388,1213.875,1213.622,30.25, ,4.8782,,-12.487
285,21.1361,1228.939,1213.812,1213.558,30.25, ,4.8773,,15.127
286,21.1401,1169.584,1213.748,1213.494,30.25, ,4.8763,,-44.164
287,21.1441,1212.6,1213.685,1213.429,30.25, ,4.8754,,-1.085
288,21.1481,1221.858,1213.622,1213.365,30.25, ,4.8745,,8.236
289,21.1521,1183.358,1213.559,1213.301,30.25, ,4.8736,,-30.201
290,21.1561,1230.515,1213.495,1213.237,30.25, ,4.8727,,17.02
291,21.1601,1219.112,1213.432,1213.173,30.25, ,4.8718,,5.68
292,21.1641,1225.636,1213.369,1213.109,30.25, ,4.8709,,12.267
293,21.1681,1225.639,1213.306,1213.044,30.25, ,4.87,,12.333
294,21.1721,1241.738,1213.242,1212.98,30.25, ,4.8691,,28.496
295,21.1761,1254.451,1213.179,1212.916,30.25, ,4.8682,,41.272
296,21.1801,1241.439,1213.116,1212.852,30.25, ,4.8672,,28.323
297,21.1841,1262.918,1213.052,1212.788,30.25, ,4.8663,,49.866
298,21.1881,1229.081,1212.989,1212.724,30.25, ,4.8654,,16.092
299,21.1921,1146.44,1212.926,1212.659,30.25, ,4.8645,,-66.486
300,21.1961,1220.252,1212.863,1212.595,30.25, ,4.8636,,7.389
301,21.2001,1179.561,1212.8,1212.531,30.25, ,4.8627,,-33.239
302,21.2041,1155.163,1212.736,1212.467,30.25, ,4.8618,,-57.573
303,21.2081,1239.244,1212.673,1212.403,30.25, ,4.8609,,26.571
